"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"engine_model/T700-GE-700";"
Engine model: T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";"T700-GE-700";;
"engine_model/RTM322";"
Engine model: RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";"RTM322";;
"engine_model/r-13f-300";"
Engine model: R-13F-300";"R-13F-300";"R-13F-300";"R-13F-300";"R-13F-300";"Р-13Ф-300";"R-13F-300";"R-13F-300";"R-13F-300";"R-13F-300";"R-13F-300";"R-13F-300";"Р-13Ф-300";"R-13F-300";"R-13F-300";"R-13F-300";"Р-13Ф-300";"R-13F-300";"R-13F-300";"R-13F-300";;
"engine_model/r-13-300";"
Engine model: R-13-300";"R-13-300";"R-13-300";"R-13-300";"R-13-300";"Р-13-300";"R-13-300";"R-13-300";"R-13-300";"R-13-300";"R-13-300";"R-13-300";"Р-13-300";"R-13-300";"R-13-300";"R-13-300";"Р-13-300";"R-13-300";"R-13-300";"R-13-300";;
"engine_model/mercury-xxiv";"
Engine model: Mercury Mk. XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"水\t星 XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"Mercury XXIV";"머큐리 XXIV";"Mercury XXIV";"Mercury XXIV";"水\t星 XXIV";"“水\t星”\tXXIV";;
"engine_model/j79_ge_17";"
Engine model: J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";"J79-GE-17";;
"engine_model/rm6c";"
Engine model: RM 6С";"RM 6C";"RM 6С";"RM 6С";"RM 6С";"RM 6С";"RM 6С";"RM 6С";"RM 6С";"RM6\tС";"RM 6С";"RM 6С";"RM 6С";"RM 6С";"RM6C";"RM 6С";"RM 6С";"RM 6С";"RM6\tС";"RM6\tС";;
"engine_model/avon_302";"
Engine model: Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"埃\t汶 Mk. 302";"エイヴォン Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"에이본 Mk. 302";"Avon Mk. 302";"Avon Mk. 302";"埃\t汶 Mk. 302";"“埃\t汶”\tMk. 302";;
"engine_model/r2800-83wa";"
Engine model: R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R-2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";"R2800-83WA";;
"engine_model/j57_p_7";"
Engine model: J57-P-7";"J57P7";"J57P7";"J57P7";"J57P7";"J57P7";"J57P7";"J57P7";"J57P7";"J57-P-7";"J57P7";"J57P7";"J57P7";"J57P7";"J57-P-7";"J57P7";"J57P7";"J57P7";"J57-P-7";"J57-P-7";;
"engine_model/j57_p_8";"
Engine model: J57-P-8";"J57-P-8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57-P-8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57P8";"J57-P-8";"J57P8";;
"engine_model/wp-5";"
Engine model: WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"涡\t喷\t-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"WP-5";"渦\t噴\t-5\t（WP-5）";"涡\t喷\t-5\t（WP-5）";;
"engine_model/kasei_25";"
Engine model: Kasei 25";"Kasei 25";"Kasei 25";"Kasei 25";"Kasei 25";"Касей 25";"Kasei 25";"Kasei 25";"Kasei 25";"火\t星\t二\t五\t型";"火星二五型";"Kasei 25";"Касей 25";"Kasei 25";"Kaszei 25";"카세이 25";"Касей 25";"Kasei 25";"火\t星\t二\t五\t型";"火\t星\t二\t五\t型";;
"engine_model/pegasus_30";"
Engine model: Pegasus Mk. 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"飞\t马\t座 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"Pegasus 30";"페가수스 30";"Pegasus 30";"Pegasus 30";"飛\t馬\t座 30";"“飞\t马\t座”\t30";;
"engine_model/avon_202";"
Engine model: Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"埃\t汶 Mk. 202";"エイヴォン Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"에이본 Mk. 202";"Avon Mk. 202";"Avon Mk. 202";"埃\t汶 Mk. 202";"“埃\t汶”\tMk. 202";;
"engine_model/j79_ge_19";"
Engine model: J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";"J79-GE-19";;
"engine_model/j79_ge_3";"
Engine model: J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";"J79-GE-3";;
"engine_model/j79_ge_3b";"
Engine model: J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";"J79-GE-3B";;
"engine_model/j79_ge_7";"
Engine model: J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";"J79-GE-7";;
"engine_model/j79_ge_11";"
Engine model: J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";"J79-GE-11";;
"engine_model/atar_9b";"
Engine model: Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"阿\t塔 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"Atar 9B";"아타 9B";"Atar 9B";"Atar 9B";"阿\t塔\t爾 9B";"“阿\t塔\t尔”\t9B";;
"engine_model/al_7f_1_100";"
Engine model: AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"АЛ-7Ф-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"АЛ-7Ф-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";"АЛ-7Ф-1-100";"AL-7F-1-100";"AL-7F-1-100";"AL-7F-1-100";;
"engine_model/j71-a-2";"
Engine model: J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";"J71-A-2";;
"engine_model/mamoru_11";"
Engine model: Mamoru 11";"Mamoru 11";"Mamoru 11";"Mamoru 11";"Mamoru 11";"Мамору 11";"Mamoru 11";"Mamoru 11";"Mamoru 11";"护\t一\t一\t型";"護一一型";"Mamoru 11";"Мамору 11";"Mamoru 11";"Mamoru 11";"마모루 11";"Мамору 11";"Mamoru 11";"護\t一\t一\t型";"Mamoru 11";;
"engine_model/j79_ge_7a";"
Engine model: J79-GE-7A";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7A";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7A";"J79-GE-7a";"J79-GE-7a";"J79-GE-7a";"J79-GE-7A";"J79-GE-7a";;
"engine_model/M-82-ir";"
Engine model: M-82IR";"M-82IR";"M-82IR";"M-82IR";"M-82IR";"М-82ИР";"M-82IR";"M-82IR";"M-82IR";"M-82IR";"M-82IR";"M-82IR";"М-82ІР";"M-82IR";"M-82IR";"M-82IR";"М-82ИР";"M-82IR";"M-82IR";"M-82IR";;
"engine_model/bmw_13k";"
Engine model: 132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";"132K";;
"engine_model/j65-w-18";"
Engine model: J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";"J65-W-18";;
"engine_model/al_7f_1_200";"
Engine model: AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"АЛ-7Ф-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"АЛ-7Ф-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";"АЛ-7Ф-1-200";"AL-7F-1-200";"AL-7F-1-200";"AL-7F-1-200";;
"engine_model/r2800-59";"
Engine model: R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";"R-2800-59";;
"engine_model/r2800-43";"
Engine model: R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";"R-2800-43";;
"engine_model/adour_mk102";"
Engine model: Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"阿\t杜\t尔 Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"아두르 Mk. 102";"Adour Mk. 102";"Adour Mk. 102";"阿\t杜\t爾 Mk. 102";"Adour Mk. 102";;
"engine_model/al_7f_1_250";"
Engine model: AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"АЛ-7Ф-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"АЛ-7Ф-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";"АЛ-7Ф-1-250";"AL-7F-1-250";"AL-7F-1-250";"AL-7F-1-250";;
"engine_model/wp-6";"
Engine model: WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"涡\t喷\t-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"WP-6";"渦\t噴\t-6\t（WP-6）";"涡\t喷\t-6\t（WP-6）";;
"engine_model/d-1a";"
Engine model: D-1a";"D-1a";"D-1a";"D-1a";"D-1a";"Д-1а";"D-1a";"D-1a";"D-1a";"D-1A";"D-1a";"D-1a";"Д-1а";"D-1a";"D-1a";"D-1a";"Д-1а";"D-1a";"D-1A";"D-1a";;
"engine_model/rd-36-35fv";"
Engine model: RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"РД-36-35ФВ";"RD-36-35FW";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"РД-36-35ФВ";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";"РД-36-35ФВ";"RD-36-35FV";"RD-36-35FV";"RD-36-35FV";;
"engine_model/r-27v-300";"
Engine model: R-27V-300";"R-27V-300";"R-27V-300";"R-27V-300";"R-27V-300";"Р-27В-300";"R-27W-300";"R-27V-300";"R-27V-300";"R-27V-300";"R-27V-300";"R-27V-300";"Р-27В-300";"R-27V-300";"R-27V-300";"R-27V-300";"Р-27В-300";"R-27V-300";"R-27V-300";"R-27V-300";;
"engine_model/r-25-300";"
Engine model: R-25-300";"R-25-300";"R-25-300";"R-25-300";"R-25-300";"Р-25-300";"R-25-300";"R-25-300";"R-25-300";"R-25-300";"R-25-300";"R-25-300";"Р-25-300";"R-25-300";"R-25-300";"R-25-300";"Р-25-300";"R-25-300";"R-25-300";"R-25-300";;
"engine_model/rm9b";"
Engine model: RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";"RM9B";;
"engine_model/pegasus_101";"
Engine model: Pegasus Mk. 101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"飞\t马\t座 Mk 101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"Pegasus 101";"페가수스 Mk.101";"Pegasus Mk.101";"Pegasus Mk.101";"飛\t馬\t座 Mk.101";"“飞\t马\t座”\tMK.101";"Pegasus Mk.101";;
"engine_model/pegasus_103";"
Engine model: Pegasus Mk. 103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"飞\t马\t座 Mk 103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"Pegasus 103";"페가수스 Mk.103";"Pegasus Mk.103";"Pegasus Mk.103";"飛\t馬\t座 Mk.103";"“飞\t马\t座”\tMK.103";"Pegasus Mk.103";;
"engine_model/pegasus_104";"
Engine model: Pegasus Mk. 104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"飞\t马\t座 Mk 104";"ペガサス Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"페가수스 Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";"飛\t馬\t座 Mk.104";"Pegasus Mk.104";"Pegasus Mk.104";;
"engine_model/pegasus_105";"
Engine model: Pegasus Mk. 105";"Pegasus Mk 105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"飞\t马\t座 Mk 105";"ペガサス\tMk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"페가수스 Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";"飛\t馬\t座 Mk.105";"Pegasus Mk.105";"Pegasus Mk.105";;
"engine_model/pegasus_106";"
Engine model: Pegasus Mk. 106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";"Pegasus Mk.106";;
"engine_model/f402-rr-401";"
Engine model: F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";"F402-RR-401";;
"engine_model/f402-rr-402";"
Engine model: F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";"F402-RR-402";;
"engine_model/f402-rr-408";"
Engine model: F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408（ペガサス Mk.107）";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";"F402-RR-408";;
"engine_model/r_4360_4_wasp_major";"
Engine model: R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4";"R-4360-4 ワスプ・メジャー";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 와스프 메이저";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";"R-4360-4 Wasp Major";;
"engine_model/a_74_rc_38";"
Engine model: A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A 74 RC 38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";"A.74 R.C.38";;
"engine_model/rd-38";"
Engine model: RD-38";"RD-38";"RD-38";"RD-38";"RD-38";"РД-38";"RD-38";"RD-38";"RD-38";"RD-38";"RD-38";"RD-38";"РД-38";"RD-38";"RD-38";"RD-38";"РД-38";"RD-38";"RD-38";"RD-38";;
"engine_model/r-28v-300";"
Engine model: R-28V-300";"R-28V-300";"R-28V-300";"R-28V-300";"R-28V-300";"Р-28В-300";"R-28V-300";"R-28V-300";"R-28V-300";"R-28V-300";"R-28V-300";"R-28V-300";"Р-28В-300";"R-28V-300";"R-28V-300";"R-28V-300";"Р-28В-300";"R-28V-300";"R-28V-300";"R-28V-300";;
"engine_model/j52-p-6a";"
Engine model: J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";"J52-P-6A";;
"engine_model/j52-p-8a";"
Engine model: J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";"J52-P-8A";;
"engine_model/j52-p-8as";"
Engine model: J52-P-8A";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";"J52-P-8As";;
"engine_model/j52-p-8b";"
Engine model: J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";"J52-P-8B";;
"engine_model/j52-p-408";"
Engine model: J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";"J52-P-408";;
"engine_model/tf_41_a_1";"
Engine model: TF41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";"TF-41-A-1";;
"engine_model/tf_41_a_2";"
Engine model: TF41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";"TF-41-A-2";;
"engine_model/gem_2_1004d";"
Engine model: GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"宝\t石 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";"GEM 2-1004D";;
"engine_model/250c20r1";"
Engine model: 250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R/1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";"250-C20R1";;
"engine_model/spey_101";"
Engine model: Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"斯\t贝 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"Spey 101";"스페이 101";"Spey 101";"Spey 101";"斯\t貝 101";"Spey 101";;
"engine_model/r-11f2s-300";"
Engine model: R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"Р-11Ф2C-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"Р-11Ф2C-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";"Р-11Ф2C-300";"R-11F2S-300";"R-11F2S-300";"R-11F2S-300";;
"engine_model/j85-ge-17b";"
Engine model: J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";"J85-GE-17B";;
"engine_model/j65-w-7";"
Engine model: J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";"J65-W-7";;
"engine_model/j65-w-3";"
Engine model: J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";"J65-W-3";;
"engine_model/am-37p";"
Engine model: AM-37P";"AM-37P";"AM-37P";"AM-37P";"AM-37P";"АМ-37П";"AM-37P";"AM-37P";"AM-37P";"AM-37P";"AM-37P";"AM-37P";"АМ-37П";"AM-37P";"AM-37P";"AM-37P";"АМ-37П";"AM-37P";"AM-37P";"AM-37P";;
"engine_model/mercury-viii";"
Engine model: Mercury Mk. VIII";"Mercury VIII";"Mercury Mercury VIII";"Mercury VIII";"Mercury VIII";"Mercury VIII";"Mercury VIII";"Mercury Mercury VIII";"Mercury Mercury VIII";"水\t星 VIII";"Mercury Mercury VIII";"Mercury Mercury VIII";"Mercury VIII";"Mercury Mercury VIII";"Mercury VIII";"머큐리 VIII";"Mercury VIII";"Mercury Mercury VIII";"水\t星 VIII";"Mercury Mercury VIII";;
